PASS | A: 7f000000 B: 7f000000 | Out: 7fffffff
PASS | A: 7c400000 B: 7e400000 | Out: 7fffffff
PASS | A: 7f000000 B: 41c00000 | Out: 7fffffff
PASS | A: 7f000000 B: 40400000 | Out: 7fffffff
PASS | A: 7f000000 B: 40800000 | Out: 7fffffff
PASS | A: 41200000 B: 41c80000 | Out: 437a0000
PASS | A: 42dc0000 B: 3f800000 | Out: 42dc0000
PASS | A: 3f800000 B: 00000000 | Out: 00000000
PASS | A: 3f800000 B: 3f800000 | Out: 3f800000
PASS | A: 00000000 B: 41c84444 | Out: 00000000
PASS | A: 7f800000 B: 41c84444 | Out: 7f800000
PASS | A: 00800000 B: 00800000 | Out: 00000000
PASS | A: 7f900000 B: 41d00000 | Out: 00000000
PASS | A: 42dc0000 B: 3f800000 | Out: 42dc0000
PASS | A: 3fffffff B: 7f100000 | Out: 7fffffff
PASS | A: 403945de B: c9743800 | Out: ca30bf1e
PASS | A: 07e00000 B: 57e00000 | Out: 20440000
PASS | A: 64440f02 B: 04478f02 | Out: 2918d530
PASS | A: 3f9fd530 B: 7e1fd530 | Out: 7e479506
PASS | A: 97479506 B: c75ff506 | Out: 1f2e99d6
PASS | A: 2918d530 B: 7f800000 | Out: 7f800000
PASS | A: c75ff506 B: 7f900000 | Out: 00000000
PASS | A: e32000d6 B: 632000d6 | Out: 7fffffff
PASS | A: c72360d6 B: c72360d6 | Out: 4ed088ea
PASS | A: 472360d6 B: c72360d6 | Out: ced088ea
PASS | A: 7edfe8ea B: 0ad828eb | Out: 4a3d104f
PASS | A: de3d104f B: 9e2117ff | Out: 3cedf1f4
PASS | A: bcc001f4 B: fccf01f4 | Out: 7a1b430b
PASS | A: 3f800000 B: c75ff506 | Out: c75ff506
PASS | A: 9f2e99d6 B: 4ed088ea | Out: ae8e3a5f
PASS | A: 1d8647c1 B: 004de8c6 | Out: 00000000
PASS | A: ff8364ef B: 93ea69c6 | Out: 00000000
PASS | A: ce9981fd B: 2e5948b7 | Out: bd824ac9
PASS | A: f58705e4 B: 9affd518 | Out: 5106ef42
PASS | A: 8847902a B: 50d33667 | Out: 99a4a63b
PASS | A: 93c34f89 B: 2aa4a1c6 | Out: 00000000
PASS | A: 4553b6c9 B: 3d7694bf | Out: 434beca8
PASS | A: a813c7c2 B: 9bd93e71 | Out: 047ad0be
PASS | A: 7b9f4594 B: b81df364 | Out: f4448a32
PASS | A: e0a7d0b4 B: df6e5b3e | Out: 7fffffff
PASS | A: 10f05801 B: 483be748 | Out: 19b0696b
PASS | A: 29224825 B: e9f94cee | Out: d39e08f0
